code,sex1or0,age,PA150m1or0,cdrisc_total,POMmean,CMAAS_total,Resilience_personalcompetence,Resilience_tolerance,Resilience_positiveaccept,Resilience_control,Resilience_spiritual
173,0,21,1,65,3.428571429,60,2.5,2.571428571,3,2.333333333,2.5
92,1,21,1,65,3.714285714,64,2.875,2.571428571,3,1.666666667,2
69,0,20,1,65,2.285714286,51,2.625,2.428571429,3,2.666666667,2
204,0,19,1,65,3.857142857,58,2.375,2.428571429,3.2,3,2
70,0,19,1,64,2.571428571,42,2.875,2.714285714,2,2.666666667,2
20,0,20,1,64,3.714285714,45,2.625,2.857142857,2.4,2.666666667,1.5
1125,1,27,0,64,3.142857143,64,3,2.285714286,2.4,2.666666667,2
110,0,20,1,64,3.428571429,44,2.75,2.857142857,2.6,1.666666667,2
1052,0,20,1,64,3.142857143,51,2.625,2.571428571,2.6,2.666666667,2
51,1,19,1,64,4,73,2.75,2.571428571,2.8,2.333333333,1.5
181,1,19,1,64,3.714285714,68,2.75,2.428571429,2.8,2.333333333,2
46,0,20,1,64,3,65,2.5,2.571428571,3,2,2.5
27,0,20,1,64,4,73,2.625,2.142857143,3,2.666666667,2.5
1072,0,21,0,63,3.142857143,40,3,2.857142857,1.8,1.666666667,2.5
1011,1,22,1,63,2.714285714,60,2.375,3.142857143,2.2,2,2.5
1036,0,21,1,63,4,55,2.75,2.714285714,2.4,2.333333333,1.5
1001,1,22,1,63,2.428571429,59,2.75,2.571428571,2.4,2,2.5
1102,0,21,1,63,3.285714286,76,3,2.142857143,2.4,2.333333333,2.5
1069,1,21,1,63,4.142857143,59,2.625,2.571428571,2.6,2.666666667,1.5
32,0,20,1,63,2.142857143,69,2.25,2.428571429,2.6,3,3
107,1,22,1,63,4,67,2.75,2.428571429,2.6,2.666666667,1.5
1049,0,22,1,63,4,64,2.75,2.285714286,2.6,2.333333333,2.5
120,1,19,1,63,3,53,2.75,2.285714286,2.6,2,3
7,1,19,1,63,3.428571429,55,2.875,2.142857143,2.6,2.333333333,2.5
186,0,19,1,63,3.857142857,66,2.25,2.571428571,3.2,2,2.5
165,1,19,1,62,2.428571429,40,2.5,2.714285714,2,3,2
1108,0,21,1,62,3.285714286,44,2.875,2.571428571,2.2,2.333333333,1.5
79,0,20,1,62,3.285714286,53,2.5,3,2.4,1.666666667,2
6,1,19,1,62,3.285714286,41,2.625,2.571428571,2.4,2,2.5
1228,1,24,1,62,3.714285714,65,2.375,2.142857143,2.6,3.333333333,2.5
112,1,19,1,62,3,58,2.375,2.571428571,2.8,1.666666667,3
182,0,21,1,62,3.142857143,67,2.75,2.571428571,2.8,1.666666667,1.5
1007,0,21,0,62,2.714285714,55,2.75,2.142857143,2.8,2,2.5
1159,0,20,1,62,2.428571429,63,2.25,2.428571429,3,2.666666667,2
1047,0,22,0,61,3,61,2.75,2.571428571,2.2,1.666666667,2.5
1126,1,21,0,61,3.285714286,69,3,2.428571429,2.2,1.666666667,2
37,0,20,1,61,3.714285714,50,2.5,2.285714286,2.2,3,2.5
123,0,20,1,61,3.857142857,41,2.625,2.857142857,2.4,2,1
1015,0,22,1,61,4.857142857,67,2,2.714285714,2.4,3,2.5
1114,1,26,1,61,2.571428571,39,2,2.714285714,2.6,1.666666667,4
38,1,19,1,61,3.714285714,54,2.25,2.571428571,2.6,3,1.5
52,0,19,1,61,4,70,2.375,2.285714286,2.6,2.333333333,3
129,0,20,1,61,3,56,2.875,2.285714286,2.6,2,1.5
1030,0,23,1,61,2,52,1.875,2.857142857,2.8,2.333333333,2.5
1146,1,23,1,61,1.857142857,52,2.25,2.857142857,2.8,1.666666667,2
1112,1,20,1,61,3.714285714,60,2,2.714285714,2.8,2,3
179,1,20,1,61,2.571428571,51,2.5,2.571428571,2.8,1.333333333,2.5
1119,1,21,1,61,3.857142857,84,2,2.428571429,2.8,3,2.5
48,0,22,1,61,2.857142857,56,2.75,2.428571429,2.8,2,1
1169,1,21,1,60,3,65,2.625,2.142857143,2.2,2.666666667,2.5
101,0,19,1,60,4,36,2,3.142857143,2.4,1.333333333,3
75,1,18,1,60,3.428571429,51,2.375,2.714285714,2.4,1.666666667,2.5
54,0,19,1,60,3.714285714,53,2.25,2.714285714,2.4,1.333333333,3.5
1065,1,22,1,60,2.571428571,65,2.5,2.428571429,2.4,2,2.5
140,0,18,1,60,3.571428571,55,2.625,2.428571429,2.4,2,2
91,0,21,1,60,2.857142857,67,2.375,2.285714286,2.4,2,3.5
1017,1,20,0,60,3.142857143,43,2.25,2.285714286,2.6,3,2
202,0,20,1,60,2.714285714,44,2.5,2.285714286,2.6,2,2.5
1103,0,21,0,60,3,60,2.75,2.142857143,2.6,2.333333333,1.5
39,0,18,1,60,3.142857143,56,2.625,2.142857143,2.6,2,2.5
1171,1,20,0,60,3.857142857,62,2.25,2.571428571,2.8,1.666666667,2.5
145,0,20,1,59,2.428571429,53,2.5,2.857142857,2,1.666666667,2
65,0,19,0,59,3.285714286,53,2.75,2.285714286,2,2.333333333,2
1095,0,24,1,59,3.571428571,54,2.125,2.857142857,2.2,1.666666667,3
1135,0,23,1,59,3.714285714,52,2.375,2.285714286,2.2,2.666666667,2.5
18,0,19,1,59,4,64,2.5,2.142857143,2.2,2.666666667,2.5
4008,0,23,0,59,3,58,2.375,2.571428571,2.4,1.666666667,2.5
